Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: yellow,"Order: {'left': 'yellow', 'right': 'blue'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: yellow,"Order: {'left': 'yellow', 'right': 'blue'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: yellow,"Order: {'left': 'yellow', 'right': 'blue'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: blue,"Order: {'left': 'blue', 'right': 'yellow'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: blue,"Order: {'left': 'blue', 'right': 'yellow'}",Time: 300
2,Left (Q),control group,yellow,"{'left': 'yellow', 'right': 'blue'}",10
2,Right (P),control group,blue,"{'left': 'blue', 'right': 'yellow'}",10
2,Right (P),control group,yellow,"{'left': 'yellow', 'right': 'blue'}",10
2,Right (P),control group,green,"{'left': 'green', 'right': 'red'}",120
2,Right (P),control group,green,"{'left': 'green', 'right': 'red'}",300
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: yellow,"Order: {'left': 'yellow', 'right': 'blue'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: blue,"Order: {'left': 'blue', 'right': 'yellow'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: blue,"Order: {'left': 'blue', 'right': 'yellow'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: orange,"Order: {'left': 'orange', 'right': 'green'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: green,"Order: {'left': 'green', 'right': 'orange'}",Time: 300
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: blue,"Order: {'right': 'yellow', 'left': 'blue'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: blue,"Order: {'right': 'yellow', 'left': 'blue'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: blue,"Order: {'right': 'yellow', 'left': 'blue'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: green,"Order: {'right': 'red', 'left': 'green'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: red,"Order: {'right': 'green', 'left': 'red'}",Time: 300
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: yellow,"Order: {'left': 'yellow', 'right': 'blue'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: blue,"Order: {'left': 'blue', 'right': 'yellow'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: yellow,"Order: {'left': 'yellow', 'right': 'blue'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: green,"Order: {'left': 'green', 'right': 'red'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: green,"Order: {'left': 'green', 'right': 'red'}",Time: 300
2,Right (P),control group,yellow,"{'left': 'yellow', 'right': 'blue'}",0
2,Right (P),control group,blue,"{'left': 'blue', 'right': 'yellow'}",0
2,Right (P),control group,blue,"{'left': 'blue', 'right': 'yellow'}",0
2,Left (Q),control group,orange,"{'left': 'orange', 'right': 'green'}",120
2,Right (P),control group,green,"{'left': 'green', 'right': 'orange'}",300
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: blue,"Order: {'right': 'yellow', 'left': 'blue'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: yellow,"Order: {'right': 'blue', 'left': 'yellow'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: blue,"Order: {'right': 'yellow', 'left': 'blue'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: yellow,"Order: {'right': 'blue', 'left': 'yellow'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: yellow,"Order: {'right': 'blue', 'left': 'yellow'}",Time: 300
2,Right (P),control group,green,"{'left': 'green', 'right': 'orange'}",0
Experiment Number,Keypress,Primed With,Appeared First,Order,Time
2,Right (P),control group,green,"{'left': 'green', 'right': 'orange'}",0
Experiment Number,Keypress,Primed With,Appeared First,Order,Time
2,Left (Q),control group,yellow,"{'left': 'yellow', 'right': 'blue'}",0
1,Right (P),control group,"(150, 75, 0)","{'right': (0, 255, 0), 'left': (150, 75, 0)}",0
1,Right (P),control group,"(150, 75, 0)","{'right': (255, 0, 0), 'left': (150, 75, 0)}",0
1,Left (Q),control group,"(128, 0, 128)","{'right': (0, 255, 0), 'left': (128, 0, 128)}",0
1,Right (P),control group,"(150, 75, 0)","{'left': (0, 255, 0), 'right': (150, 75, 0)}",120
1,Left (Q),control group,"(255, 20, 147)","{'left': (255, 0, 0), 'right': (255, 20, 147)}",300
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'right': (0, 255, 0), 'left': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'right': (0, 255, 0), 'left': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'right': (255, 0, 0), 'left': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'right': (255, 0, 0), 'left': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Left (Q),Primed With: control group,"Appeared First: (128, 0, 128)","Order: {'right': (0, 255, 0), 'left': (128, 0, 128)}",Time: 0
Experiment 1,Keypress: Left (Q),Primed With: control group,"Appeared First: (128, 0, 128)","Order: {'right': (0, 255, 0), 'left': (128, 0, 128)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'left': (0, 255, 0), 'right': (150, 75, 0)}",Time: 120
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'left': (0, 255, 0), 'right': (150, 75, 0)}",Time: 120
Experiment 1,Keypress: Left (Q),Primed With: control group,"Appeared First: (255, 20, 147)","Order: {'left': (255, 0, 0), 'right': (255, 20, 147)}",Time: 300
Experiment 1,Keypress: Left (Q),Primed With: control group,"Appeared First: (255, 20, 147)","Order: {'left': (255, 0, 0), 'right': (255, 20, 147)}",Time: 300
Experiment 2,Keypress: Right (P),Primed With: control group,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: ,Primed With: control group,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: green,"Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: green,"Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: yellow,"Order: {'left': 'yellow', 'right': 'blue'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: yellow,"Order: {'left': 'yellow', 'right': 'blue'}",Time: 0
2,Left (Q),control group,blue,"{'left': 'blue', 'right': 'yellow'}",10
2,Right (P),control group,blue,"{'left': 'blue', 'right': 'yellow'}",10
2,Left (Q),control group,blue,"{'left': 'blue', 'right': 'yellow'}",10
2,Left (Q),control group,red,"{'left': 'red', 'right': 'green'}",120
2,Left (Q),control group,green,"{'left': 'green', 'right': 'red'}",300
Experiment 2,Keypress: Left (Q),Primed With: control group,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'yellow'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'yellow'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'yellow'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'green'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: control group,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'green'}",Time: 300
Experiment 2,Keypress: Left (Q),Primed With: skittles_green,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'green'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: skittles_green,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'green'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: skittles_green,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'green'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: blue,"Order: {'right': 'yellow', 'left': 'blue'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: yellow,"Order: {'right': 'blue', 'left': 'yellow'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: blue,"Order: {'right': 'yellow', 'left': 'blue'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: blue,"Order: {'right': 'yellow', 'left': 'blue'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: yellow,"Order: {'right': 'blue', 'left': 'yellow'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: blue,"Order: {'right': 'yellow', 'left': 'blue'}",Time: 300
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (128, 0, 128)","Order: {'left': (255, 215, 0), 'right': (128, 0, 128)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (128, 0, 128)","Order: {'left': (255, 215, 0), 'right': (128, 0, 128)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'left': (255, 0, 0), 'right': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'left': (255, 0, 0), 'right': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Left (Q),Primed With: control group,"Appeared First: (128, 0, 128)","Order: {'left': (0, 255, 0), 'right': (128, 0, 128)}",Time: 0
Experiment 1,Keypress: Left (Q),Primed With: control group,"Appeared First: (128, 0, 128)","Order: {'left': (0, 255, 0), 'right': (128, 0, 128)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (255, 20, 147)","Order: {'left': (0, 255, 0), 'right': (255, 20, 147)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (255, 20, 147)","Order: {'left': (0, 255, 0), 'right': (255, 20, 147)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'left': (0, 255, 0), 'right': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'left': (0, 255, 0), 'right': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (128, 0, 128)","Order: {'left': (255, 215, 0), 'right': (128, 0, 128)}",Time: 120
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (128, 0, 128)","Order: {'left': (255, 215, 0), 'right': (128, 0, 128)}",Time: 120
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'right': (255, 0, 0), 'left': (150, 75, 0)}",Time: 300
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'right': (255, 0, 0), 'left': (150, 75, 0)}",Time: 300
2,Right (P),control group,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Right (P),control group,yellow,"{'right': 'blue', 'left': 'yellow'}",10
2,Right (P),control group,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Right (P),control group,yellow,"{'right': 'blue', 'left': 'yellow'}",120
2,Left (Q),control group,yellow,"{'right': 'blue', 'left': 'yellow'}",300
2,Left (Q),control group,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Left (Q),control group,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Left (Q),control group,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Left (Q),control group,green,"{'right': 'red', 'left': 'green'}",120
2,Left (Q),control group,red,"{'right': 'green', 'left': 'red'}",300
2,Right (P),control group,yellow,"{'left': 'yellow', 'right': 'blue'}",10
2,Left (Q),control group,yellow,"{'left': 'yellow', 'right': 'blue'}",10
2,Left (Q),control group,yellow,"{'left': 'yellow', 'right': 'blue'}",10
2,Right (P),control group,blue,"{'left': 'blue', 'right': 'yellow'}",120
2,Left (Q),control group,blue,"{'left': 'blue', 'right': 'yellow'}",300
1,Right (P),control group,"(128, 0, 128)","{'left': (255, 215, 0), 'right': (128, 0, 128)}",0
1,Right (P),control group,"(150, 75, 0)","{'left': (255, 0, 0), 'right': (150, 75, 0)}",0
1,Left (Q),control group,"(128, 0, 128)","{'left': (0, 255, 0), 'right': (128, 0, 128)}",0
1,Right (P),control group,"(255, 20, 147)","{'left': (0, 255, 0), 'right': (255, 20, 147)}",0
1,Right (P),control group,"(150, 75, 0)","{'left': (0, 255, 0), 'right': (150, 75, 0)}",0
1,Right (P),control group,"(128, 0, 128)","{'left': (255, 215, 0), 'right': (128, 0, 128)}",120
1,Right (P),control group,"(150, 75, 0)","{'right': (255, 0, 0), 'left': (150, 75, 0)}",300
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: blue,"Order: {'left': 'blue', 'right': 'yellow'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: blue,"Order: {'left': 'blue', 'right': 'yellow'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: blue,"Order: {'left': 'blue', 'right': 'yellow'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: red,"Order: {'left': 'red', 'right': 'green'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: green,"Order: {'left': 'green', 'right': 'red'}",Time: 300
2,Right (P),control group,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Right (P),control group,yellow,"{'right': 'blue', 'left': 'yellow'}",10
2,Right (P),control group,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Left (Q),control group,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Left (Q),control group,yellow,"{'right': 'blue', 'left': 'yellow'}",120
2,Right (P),control group,blue,"{'right': 'yellow', 'left': 'blue'}",300
