Expt. Number,Keypress,Primed With,Appeared First,Appearance Order,,Pressed,Time,Worked,,
1/2,Left/Right,Color,Color,Left,Right,Color,0/120/300,True/False,,
1,Right,orange,pink,pink,orange,orange,0,T,,
1,Left,green,purple,purple,green,purple,0,F,,
1,Left,green,purple,green,purple,green,0,T,,
1,Left,green,pink,pink,green,pink,0,F,,
1,Left,green,purple,purple,green,purple,0,F,,
1,Left,red,purple,red,purple,red,0,T,,
1,Left,yellow,brown,brown,yellow,brown,0,F,,
1,Left,orange,blue,orange,blue,orange,0,T,,
1,Left,yellow,brown,yellow,brown,yellow,0,T,,
1,Left,red,blue,red,blue,red,0,T,,
1,Left,orange,brown,brown,orange,brown,0,F,,
1,Left,yellow,blue,blue,yellow,blue,0,F,,
1,Right,orange,brown,orange,brown,brown,0,F,,
1,Left,red,blue,red,blue,red,0,T,,
1,Left,orange,pink,pink,orange,pink,0,F,,
1,Right,orange,pink,pink,orange,orange,0,T,,
1,Right,orange,purple,purple,orange,orange,0,T,,
1,Right,orange,blue,blue,orange,orange,0,T,,
1,Left,orange,brown,brown,orange,brown,0,F,,
1,Left,yellow,brown,yellow,brown,yellow,0,T,,
1,Left,red,blue,blue,red,blue,0,F,,
1,Left,green,pink,green,pink,green,0,T,,
1,Right,green,pink,pink,green,green,0,T,,
1,Left,yellow,brown,yellow,brown,yellow,0,T,,
1,Left,orange,brown,orange,brown,orange,0,T,,
1,Left,orange,brown,brown,orange,brown,0,F,,
1,Right,orange,pink,pink,orange,orange,0,T,,
1,Left,green,pink,pink,green,pink,0,F,,
1,Right,orange,purple,orange,purple,purple,0,F,,
1,Left,green,brown,brown,green,brown,0,F,,
1,Left,orange,brown,orange,brown,orange,0,T,,
1,Right,yellow,blue,yellow,blue,blue,0,F,,
1,Right,green,pink,pink,green,green,0,T,,
1,Right,yellow,blue,blue,yellow,yellow,0,T,,
1,Left,orange,purple,orange,purple,orange,120,T,,
1,Left,orange,brown,brown,orange,brown,120,F,,
1,Right,green,brown,green,brown,brown,120,F,,
1,Left,green,pink,green,pink,green,120,T,,
1,Right,green,brown,green,brown,brown,120,F,,
1,Left,red,purple,purple,red,purple,120,F,,
1,Right,yellow,brown,brown,yellow,yellow,120,T,,
1,Right,yellow,purple,purple,yellow,yellow,300,T,,
1,Left,orange,blue,blue,orange,blue,300,F,,
1,Right,yellow,purple,purple,yellow,yellow,300,T,,
1,Right,orange,blue,orange,blue,blue,300,F,,
1,Left,orange,brown,brown,orange,brown,300,F,,
1,Right,yellow,blue,yellow,blue,blue,300,F,,
1,Right,orange,brown,orange,brown,brown,300,F,,
1,Left,yellow,pink,pink,yellow,pink,300,F,,
2,Right,green,red,red,green,green,0,T,,
2,Right,green,orange,orange,green,green,0,T,,
2,Right,blue,yellow,yellow,blue,blue,0,T,,
2,Right,orange,green,green,orange,orange,0,T,,
2,Right,black,purple,purple,black,black,0,T,,
2,Left,red,blue,blue,red,blue,0,F,,
2,Left,blue,yellow,yellow,blue,yellow,0,F,,
2,Left,blue,red,red,blue,red,0,F,,
2,Right,orange,green,green,orange,orange,0,T,,
2,Left,black,purple,purple,black,purple,0,F,,
2,Left,purple,black,black,purple,black,0,F,,
2,Left,purple,black,black,purple,black,0,F,,
2,Left,black,purple,purple,black,purple,0,F,,
2,Right,yellow,blue,blue,yellow,yellow,0,T,,
2,Right,orange,green,green,orange,orange,0,T,,
2,Right,blue,red,red,blue,blue,0,T,,
2,Right,yellow,blue,blue,yellow,yellow,0,T,,
2,Left,purple,black,black,purple,black,0,F,,
2,Right,green,orange,orange,green,green,0,T,,
2,Right,red,blue,blue,red,red,0,T,,
2,Right,red,blue,blue,red,red,0,T,,
2,Right,red,green,green,red,red,0,T,,
2,Left,blue,red,red,blue,red,0,F,,
2,Right,red,blue,blue,red,red,0,T,,
2,Right,black,purple,purple,black,black,0,T,,
2,Left,purple,black,black,purple,black,0,F,,
2,Left,purple,black,black,purple,black,0,F,,
2,Right,green,orange,orange,green,green,0,T,,
2,Right,green,orange,orange,green,green,0,T,,
2,Left,green,orange,orange,green,orange,0,F,,
2,Right,orange,green,green,orange,orange,0,T,,
2,Right,blue,yellow,yellow,blue,blue,0,T,,
2,Right,green,red,red,green,green,0,T,,
2,Left,blue,red,red,blue,red,0,F,,
2,Right,red,green,green,red,red,0,T,,
2,Right,blue,yellow,yellow,blue,blue,0,T,,
2,Right,blue,yellow,yellow,blue,blue,0,T,,
2,Right,purple,black,black,purple,purple,0,T,,
2,Right,red,green,green,red,red,0,T,,
2,Left,yellow,blue,blue,yellow,blue,0,F,,
2,Left,green,orange,orange,green,orange,0,F,,
2,Left,black,purple,purple,black,purple,0,F,,
2,Left,blue,red,red,blue,red,0,F,,
2,Left,red,blue,blue,red,blue,0,F,,
2,Right,red,blue,blue,red,red,0,T,,
2,Right,blue,yellow,yellow,blue,blue,0,T,,
2,Right,yellow,blue,blue,yellow,yellow,0,T,,
2,Right,yellow,blue,blue,yellow,yellow,0,T,,
2,Left,yellow,blue,blue,yellow,blue,0,F,,
2,Left,blue,yellow,yellow,blue,yellow,0,F,,
2,Right,yellow,blue,blue,yellow,yellow,0,T,,
2,Right,blue,yellow,yellow,blue,blue,0,T,,
2,Left,blue,yellow,yellow,blue,yellow,0,F,,
2,Left,green,orange,orange,green,orange,0,F,,
2,Right,red,green,green,red,red,0,T,,
2,Left,blue,yellow,yellow,blue,yellow,0,F,,
2,Left,blue,yellow,yellow,blue,yellow,0,F,,
2,Left,blue,yellow,yellow,blue,yellow,0,F,,
2,Right,yellow,blue,blue,yellow,yellow,0,T,,
2,Left,yellow,blue,blue,yellow,blue,0,F,,
2,Left,yellow,blue,blue,yellow,blue,0,F,,
2,Right,red,green,green,red,red,0,T,,
2,Left,yellow,blue,blue,yellow,blue,0,F,,
2,Left,blue,yellow,yellow,blue,yellow,0,F,,
2,Right,red,green,green,red,red,0,T,,
2,Right,green,red,red,green,green,0,T,,
2,Right,red,green,green,red,red,0,T,,
2,Left,blue,yellow,yellow,blue,yellow,0,F,,
2,Right,yellow,blue,blue,yellow,yellow,0,T,,
2,Left,yellow,blue,blue,yellow,blue,0,F,,
2,Right,blue,yellow,yellow,blue,blue,0,T,,
2,Left,black,purple,purple,black,purple,0,F,,
2,Right,blue,red,red,blue,blue,0,T,,
2,Left,green,orange,orange,green,orange,120,F,,
2,Right,red,blue,blue,red,red,120,T,,
2,Left,orange,green,green,orange,green,120,F,,
2,Left,purple,black,black,purple,black,120,F,,
2,Right,blue,red,red,blue,blue,120,T,,
2,Right,blue,yellow,yellow,blue,blue,120,T,,
2,Left,green,orange,orange,green,orange,120,F,,
2,Left,green,orange,orange,green,orange,120,F,,
2,Left,green,orange,orange,green,orange,120,F,,
2,Right,blue,yellow,yellow,blue,blue,120,T,,
2,Left,blue,yellow,yellow,blue,yellow,120,F,,
2,Left,orange,green,green,orange,green,120,F,,
2,Left,black,purple,purple,black,purple,120,F,,
2,Left,blue,red,red,blue,red,120,F,,
2,Right,blue,yellow,yellow,blue,blue,120,T,,
2,Right,black,purple,purple,black,black,120,T,,
2,Right,black,purple,purple,black,black,120,T,,
2,Right,black,purple,purple,black,black,120,T,,
2,Right,blue,red,red,blue,blue,120,T,,
2,Left,orange,green,green,orange,green,120,F,,
2,Right,black,purple,purple,black,black,300,T,,
2,Right,red,blue,blue,red,red,300,T,,
2,Left,blue,red,red,blue,red,300,F,,
2,Right,black,purple,purple,black,black,300,T,,
2,Left,green,orange,orange,green,orange,300,F,,
2,Left,orange,green,green,orange,green,300,F,,
2,Right,blue,yellow,yellow,blue,blue,300,T,,
2,Left,red,green,green,red,green,300,F,,
2,Right,blue,yellow,yellow,blue,blue,300,T,,
2,Left,blue,yellow,yellow,blue,yellow,300,F,,
2,Right,green,red,red,green,green,300,T,,
2,Left,red,green,green,red,green,300,F,,
2,Right,purple,black,black,purple,purple,300,T,,
2,Left,red,blue,blue,red,blue,300,F,,
2,Right,blue,red,red,blue,blue,300,T,,
2,Left,yellow,blue,blue,yellow,blue,300,F,,
2,Right,orange,green,green,orange,orange,300,T,,
2,Right,black,purple,purple,black,black,300,T,,
2,Left,black,purple,purple,black,purple,300,F,,
,,,,,,,,,COUNT,84
,,,,,,,,,TOTAL,161
,,,,,,,,,PERCENT,52.17391304